,0,1,2,3,4,5,6,7,8,9,10
2007,25502.03982011974,25502.03982011974,23017.312719199806,21664.121338102967,20751.892250988632,19992.19105304405,19393.477941509336,18901.897624719888,18477.712029650807,18124.895105149597,17789.85248058662
2008,9846.268713731319,9846.268713731319,6075.464462134987,4223.886998459697,3099.059990670532,2424.900789439678,1992.1797184199095,1688.5473654866219,1481.823859486729,1312.0108475461602,1197.3322900496423
2009,5980.009717788547,5980.009717788547,3047.771318681538,1937.98323944211,1380.899998769164,1076.3609688840806,909.3956173695624,795.5697094835341,703.8482540175319,641.5700142495334,591.5511771254241
2010,6779.071830976754,6779.071830976754,3593.1906200163066,2287.523687813431,1630.391670666635,1259.669546097517,1036.5201393291354,907.8774894326925,818.3816861100495,752.4447197280824,697.0926446281374
2015,11940.840930573642,11940.840930573642,8287.76405601576,6661.720702677965,5765.228819921613,5245.895190574229,4937.019443009049,4709.712771564722,4540.713524587452,4423.608425453305,4321.942548055202
2016,7346.684121310711,7346.684121310711,3761.5616950280964,2347.8712238296866,1655.3202382959425,1285.9317851737142,1056.2197203710675,928.0206786394119,837.809637915343,773.3761591017246,722.5414622053504
2017,7391.214163526893,7391.214163526893,4063.897885199636,2795.078586202115,2196.0148609168828,1904.109718926251,1740.1703092232347,1643.7430426254869,1578.5106727816164,1521.062984701246,1476.7009061910212
2018,6763.687289774418,6763.687289774418,3832.9334849603474,2572.480824816972,1874.1243406571448,1451.3152895234525,1208.2159095332026,1040.5889180414379,934.9467931911349,859.2922309264541,805.9282700940967
2019,7886.518484860659,7886.518484860659,4766.86775938049,3351.810921996832,2535.0708565078676,2026.136933773756,1698.988702878356,1485.3271309286356,1329.7824613638222,1225.9345848448575,1155.974762313068
2020,11242.651253454387,11242.651253454387,8038.718744471669,6422.481105256826,5397.58710873127,4694.174878895283,4152.756707947701,3748.100276350975,3427.5028656311333,3166.6733316369355,2958.682349588722
